Id,Label,timeset,twitter_type,lat,lng,place_country,place_type,place_fullname,place_name,created_at,lang,possibly_sensitive,quoted_status_permalink,description,email,profile_image,friends_count,followers_count,real_name,location,emoji_alias,emoji_html_decimal,emoji_utf8
@marguiabru,@marguiabru,<[2020-04-29T17:45:07.621Z]>,User,,,,,,,Fri Jul 22 02:15:45 CEST 2011,,,,"Brunet! Catalana (Blanes, Gerona) y sangre andaluza. Me gusta leer, viajar, la música y Eurovisión. Vivo en ‘Villa Jaleo’, Marbella (Málaga). 🐾🐰🇪🇸⚽️🎼❤️",,http://pbs.twimg.com/profile_images/614817669901078528/MK4DQOgt_bigger.jpg,470,213,Margarita Agudo,"Andalucía, España",,,
@emilicortavitar,@emilicortavitar,<[2020-04-29T17:46:03.613Z]>,User,,,,,,,Wed Sep 19 15:18:43 CEST 2012,,,,Professor d'Història i militant de CGT i de Procés Embat,,http://pbs.twimg.com/profile_images/1016212624835534849/QtxOZQ05_bigger.jpg,2196,1726,Emili Cortavitarte,,,,
@fanselmolorenzo,@fanselmolorenzo,<[2020-04-29T17:46:03.613Z]>,User,,,,,,,Sat Apr 14 20:56:35 CEST 2012,,,,Fundación de Estudios Libertarios Anselmo Lorenzo. Vinculada a @CNTSindicato. Centro documental y cultural. Editorial.,,http://pbs.twimg.com/profile_images/1080810560986497024/mDYxGO6i_bigger.jpg,992,7926,FAL,Madrid y Yuncler (Toledo),,,
@libreriaskirico,@libreriaskirico,<[2020-04-29T17:50:46.727Z]>,User,,,,,,,Fri Oct 01 14:25:33 CEST 2010,,,,Comunidad de librerías interesadas en la LIJ y de lectores o mediadores que apuestan por las librerías.,,http://pbs.twimg.com/profile_images/1196671607495888896/RbCcyx4a_bigger.jpg,1953,7928,Grupo Kirico,España,,,
@republico_tgn,@republico_tgn,,User,,,,,,,Wed Feb 15 19:11:51 CET 2012,,,,La servidumbre a la oligarquía de partidos se supera. Conquistemos la democracia formal y la república constitucional. «Roma traditoribus non praemiat»,,http://pbs.twimg.com/profile_images/1050436860693106688/uJhqZ8p8_bigger.jpg,374,917,Repúblico TGN #Spexit,🇪🇸 Tarragona,,,
@ley__de__murphy,@ley__de__murphy,<[2020-04-29T17:55:17.238Z]>,User,,,,,,,Wed Jun 30 09:30:51 CEST 2010,,,,"Cuando algo puede salir mal sale mal y cuando no... sale mal de todas formas. Cebolla, con o sin tortilla. Él.",,http://pbs.twimg.com/profile_images/1766983785/reloj_infinito_CENSORED_bigger.png,959,248,Myd,Cobaya asesina de kiwis,,,
@montesdeocapl,@montesdeocapl,<[2020-04-29T17:58:35.172Z]>,User,,,,,,,Fri Aug 31 16:12:10 CEST 2012,,,,"Periodista radio, prensa y TV. Realizadora TV. Cine. Fotografía. Teatro. Al frente de #MDOProducciones Doblajes. Locuciones. Edición/Montaje. Artists Management",,http://pbs.twimg.com/profile_images/950721353522515968/eHaO5NAf_bigger.jpg,3790,5249,Pilar Montes de Oca (MDO Producciones),Madrid & the World,,,
@archillap,@archillap,<[2020-04-29T17:58:35.172Z]>,User,,,,,,,Fri Apr 29 18:33:17 CEST 2011,,,,Juez de Paz . Escritor y artista plástico. Figurante en series de TV. Gestor cultural.,,http://pbs.twimg.com/profile_images/378800000693936265/661a027729fb02918dea87ffb8bcfefd_bigger.jpeg,4278,4499,Juan José Archilla,Málaga,,,
@granviademadrid,@granviademadrid,<[2020-04-29T17:58:35.172Z]>,User,,,,,,,,,,,,,,,,,,,,
@chuleriamadrid,@chuleriamadrid,<[2020-04-29T17:58:35.172Z]>,User,,,,,,,,,,,,,,,,,,,,
@mekelherrera,@mekelherrera,<[2020-04-29T17:58:35.172Z]>,User,,,,,,,,,,,,,,,,,,,,
@madrida360,@madrida360,<[2020-04-29T17:58:35.172Z]>,User,,,,,,,,,,,,,,,,,,,,
@podcastizo,@podcastizo,<[2020-04-29T17:58:35.172Z]>,User,,,,,,,,,,,,,,,,,,,,
@paisajehistoria,@paisajehistoria,<[2020-04-29T17:58:35.172Z]>,User,,,,,,,,,,,,,,,,,,,,
@canaldehistoria,@canaldehistoria,<[2020-04-29T17:58:35.172Z]>,User,,,,,,,,,,,,,,,,,,,,
@dlhistoria,@dlhistoria,<[2020-04-29T17:58:35.172Z]>,User,,,,,,,,,,,,,,,,,,,,
@hostalpersal,@hostalpersal,<[2020-04-29T17:58:35.172Z]>,User,,,,,,,,,,,,,,,,,,,,
@mac3427milagros,@mac3427milagros,<[2020-04-29T17:58:35.172Z]>,User,,,,,,,,,,,,,,,,,,,,
@amparo_manes,@amparo_manes,<[2020-04-29T17:59:30.316Z]>,User,,,,,,,Mon Apr 07 16:20:42 CEST 2014,,,,Defiendo acabar con la discriminación de las mujeres y que tengan iguales derechos que los hombres. Eso quiere decir que soy FEMINISTA #perfilfeminismo,,http://pbs.twimg.com/profile_images/545643282106449920/gLfvp6gU_bigger.jpeg,585,444,manes,España,,,
@diversitatsuv,@diversitatsuv,"<[2020-04-29T17:59:30.316Z, 2020-05-03T13:25:09.471Z]>",User,,,,,,,Mon Jan 28 10:46:13 CET 2019,,,,Iniciativa d'igualtat en la diversitat de la Universitat de València.,,http://pbs.twimg.com/profile_images/1248152908157222913/MRszVZlJ_bigger.jpg,393,319,diversitats,diversitats@uv.es 📧,,,
@pichikatripache,@pichikatripache,<[2020-04-29T18:03:47.380Z]>,User,,,,,,,Thu Jul 19 16:06:17 CEST 2012,,,,"Por la emancipación humana, terminará la explotación del hombre por el hombre, cruel vestigio de la antigüedad/ Hordearii",,http://pbs.twimg.com/profile_images/1230109272001916929/dgXeT_OD_bigger.jpg,567,497,Galileo Gall,Ñukemapu,,,
@columba75,@columba75,<[2020-04-29T18:10:03.507Z]>,User,,,,,,,Sat Aug 07 20:14:49 CEST 2010,,,,"Radio, pódcast, medios de comunicación, temas sociales y colectivos vulnerables son algunos de mis intereses. Todos los días se puede aprender algo nuevo.",,http://pbs.twimg.com/profile_images/767009109027721217/SeRrLi0R_bigger.jpg,937,420,Paloma L.Villafranca,"Málaga, Andalucía",,,
@mdurlop,@mdurlop,<[2020-04-29T18:10:09.676Z]>,User,,,,,,,Wed Jul 17 21:51:38 CEST 2013,,,,"If you are lucky enough to be different, don't ever change",,http://pbs.twimg.com/profile_images/613403594319110148/aYid0udY_bigger.jpg,46,227,Marisa Durán,,,,
@veronicabare,@veronicabare,<[2020-04-29T18:10:09.676Z]>,User,,,,,,,,,,,,,,,,,,,,
@pasamontesluis,@pasamontesluis,"<[2020-04-29T18:10:09.948Z, 2020-05-01T09:10:09.349Z]>",User,,,,,,,Fri Jan 28 13:36:47 CET 2011,,,,"EX Ciclista Profesional/ Gregarious/ADE/MBA/Mentor /Speaker/ Comentarista @tjcope / Autor de un libro. Columnista Confidencial, Ciclismo a Fondo y Sportlife",,http://pbs.twimg.com/profile_images/926948017730674689/MGpDx3LF_bigger.jpg,2902,16171,Luis Pasamontes,,,,
@alienta,@alienta,"<[2020-04-29T18:10:09.948Z, 2020-04-30T20:19:26.608Z, 2020-05-01T09:10:09.349Z]>",User,,,,,,,,,,,,,,,,,,,,
@jomacaher72,@jomacaher72,<[2020-04-29T18:13:47.570Z]>,User,,,,,,,Wed Dec 12 19:16:14 CET 2012,,,,"Grado superior F.P. Instalaciones y lineas electricas.
Conductor de camiones rigidos y articulados,cisternas a presion,plataformas,gruas autoportantes,pala carg",,http://pbs.twimg.com/profile_images/636145402740260865/JqaNi_Qj_bigger.jpg,618,79,Jose Maria Carmona hernandez,El coronil,,,
@sergiollaro,@sergiollaro,<[2020-04-29T18:21:32.328Z]>,User,,,,,,,Fri Jul 10 12:51:46 CEST 2015,,,,Escritor de intriga medieval fantástica. Editorial Dokusou. Performance y cuentacuentos. Miembro del grupo de escritores El círculo de fantasía. 😉,,http://pbs.twimg.com/profile_images/928243917195284481/64I-Y5dz_bigger.jpg,844,1007,Sergio Llanes,"Murcia, España",,,
@raycocruz,@raycocruz,<[2020-04-29T18:21:32.328Z]>,User,,,,,,,Mon Nov 09 13:56:47 CET 2009,,,,"Escritor de género fantástico y misterio, adalid de la locura, devorador de fantasía y cazador de historias. Insta: @raycocruzf   Youtube: Fantaseando",,http://pbs.twimg.com/profile_images/1129787379433312258/4lI-U8pw_bigger.jpg,1222,1329,Rayco Cruz,"Gran Canaria, España",,,
@grupo_solutio,@grupo_solutio,,User,,,,,,,Thu Feb 09 17:02:21 CET 2012,,,,"Desarrollo de software, Movilidad, BI & Analytics, Consultoría IT, Cloud y Outsourcing",,http://pbs.twimg.com/profile_images/1110528172725096448/OZRPFJik_bigger.png,244,258,Grupo_Solutio,España,,,
@palabrasysangre,@palabrasysangre,<[2020-04-29T19:56:57.075Z]>,User,,,,,,,Sat Jun 13 16:35:33 CEST 2015,,,,https://arieval.tumblr.com/,,http://pbs.twimg.com/profile_images/1254120272698978304/NL9H7JTn_bigger.jpg,490,543,Lo trágico cotidiano,,,,
@lorenadelp,@lorenadelp,,User,,,,,,,Thu Dec 30 20:47:15 CET 2010,,,,,,http://pbs.twimg.com/profile_images/1173406178174558208/hd14Vt1f_bigger.jpg,456,643,Pilar,"Comunidad de Madrid, España",,,
@naupuig,@naupuig,<[2020-04-29T18:37:18.582Z]>,User,,,,,,,Tue Oct 25 00:24:41 CEST 2011,,,,"Professor d'Història. Ludum ergo sum. El joc i la història, són dues coses serioses, la part divertida és entendre-les!! Submergit en el projecte del @CavalldeT",,http://pbs.twimg.com/profile_images/1209193191280447488/dV8u_Pbm_bigger.jpg,997,463,Puig,,,,
@josemi703,@josemi703,<[2020-04-29T18:43:37.686Z]>,User,,,,,,,Sat Jan 11 18:41:12 CET 2014,,,,,,http://pbs.twimg.com/profile_images/1246756394365263872/q_ei7fPn_bigger.jpg,144,179,Jose M,,,,
